id,time_baca,time_blatchington,time_cardinal_n,time_ds,time_hove_park,time_kings,time_longhill,time_paca,time_patcham,time_varndean,first_closest_travel,second_closest_travel,third_closest_travel,first_closest_time,second_closest_time,third_closest_time,max_travel,min_travel,avg_travel,geometry,long,lat
BN1 1FT,34,48,30,33,38,55,43,44,36,29,varndean,cardinal_n,ds,29,30,33,55,29,39,"c(-0.138328, 50.821114)",-0.138328,50.821114
BN1 1FU,33,48,29,32,38,54,41,43,34,29,cardinal_n,varndean,ds,29,29,32,54,29,38.1,"c(-0.13826, 50.82176)",-0.13826,50.82176
BN1 1FW,39,56,37,38,45,62,46,53,41,32,varndean,cardinal_n,ds,32,37,38,62,32,44.9,"c(-0.138804, 50.819164)",-0.138804,50.819164
BN1 1FX,34,48,30,33,38,55,43,44,36,29,varndean,cardinal_n,ds,29,30,33,55,29,39,"c(-0.138459, 50.821404)",-0.138459,50.821404
BN1 1FY,31,48,29,30,38,54,43,45,31,28,varndean,cardinal_n,ds,28,29,30,54,28,37.7,"c(-0.137316, 50.821565)",-0.137316,50.821565
BN1 1FZ,34,51,32,33,40,58,43,47,36,29,varndean,cardinal_n,ds,29,32,33,58,29,40.3,"c(-0.136165, 50.82196)",-0.136165,50.82196
BN1 1GA,39,48,29,36,38,54,56,44,42,30,cardinal_n,varndean,ds,29,30,36,56,29,41.6,"c(-0.141554, 50.823899)",-0.141554,50.823899
BN1 1GB,31,48,29,30,38,54,43,45,31,28,varndean,cardinal_n,ds,28,29,30,54,28,37.7,"c(-0.137316, 50.821565)",-0.137316,50.821565
BN1 1GD,33,51,30,33,40,58,42,47,35,29,varndean,cardinal_n,baca,29,30,33,58,29,39.8,"c(-0.137352, 50.820666)",-0.137352,50.820666
BN1 1GE,37,49,31,36,39,56,57,47,40,32,cardinal_n,varndean,ds,31,32,36,57,31,42.4,"c(-0.138813, 50.824983)",-0.138813,50.824983
BN1 1GF,34,51,31,33,40,58,41,47,36,29,varndean,cardinal_n,ds,29,31,33,58,29,40,"c(-0.136444, 50.820283)",-0.136444,50.820283
BN1 1GG,35,45,27,34,35,51,44,42,37,30,cardinal_n,varndean,ds,27,30,34,51,27,38,"c(-0.140118, 50.822509)",-0.140118,50.822509
BN1 1GH,35,47,29,34,37,53,44,42,37,30,cardinal_n,varndean,ds,29,30,34,53,29,38.8,"c(-0.139085, 50.822439)",-0.139085,50.822439
BN1 1GJ,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1GL,33,47,29,32,37,53,40,42,35,29,cardinal_n,varndean,ds,29,29,32,53,29,37.7,"c(-0.138811, 50.822183)",-0.138811,50.822183
BN1 1GN,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1GP,33,48,29,32,38,54,41,43,35,29,cardinal_n,varndean,ds,29,29,32,54,29,38.2,"c(-0.138735, 50.821588)",-0.138735,50.821588
BN1 1GQ,40,49,30,45,39,56,57,47,45,38,cardinal_n,varndean,hove_park,30,38,39,57,30,44.6,"c(-0.143426, 50.821447)",-0.143426,50.821447
BN1 1GR,37,49,28,37,38,55,59,47,40,32,cardinal_n,varndean,baca,28,32,37,59,28,42.2,"c(-0.140818, 50.826334)",-0.140818,50.826334
BN1 1GS,35,45,29,34,36,51,44,42,37,30,cardinal_n,varndean,ds,29,30,34,51,29,38.3,"c(-0.14009, 50.82217)",-0.14009,50.82217
BN1 1GT,36,45,28,35,36,51,46,41,39,31,cardinal_n,varndean,ds,28,31,35,51,28,38.8,"c(-0.140855, 50.822551)",-0.140855,50.822551
BN1 1GX,37,48,30,37,38,55,56,46,41,32,cardinal_n,varndean,baca,30,32,37,56,30,42,"c(-0.1385, 50.8243)",-0.1385,50.8243
BN1 1GY,33,49,30,33,39,56,44,47,35,29,varndean,cardinal_n,baca,29,30,33,56,29,39.5,"c(-0.137594, 50.821003)",-0.137594,50.821003
BN1 1HA,36,45,29,36,36,51,46,42,40,31,cardinal_n,varndean,baca,29,31,36,51,29,39.2,"c(-0.141281, 50.822186)",-0.141281,50.822186
BN1 1HB,36,45,29,35,36,51,46,42,39,31,cardinal_n,varndean,ds,29,31,35,51,29,39,"c(-0.140729, 50.822154)",-0.140729,50.822154
BN1 1HD,35,47,29,34,37,52,44,42,38,30,cardinal_n,varndean,ds,29,30,34,52,29,38.8,"c(-0.140333, 50.82212)",-0.140333,50.82212
